zip,tdu_name
60140,COMMONWEALTH EDISON
60142,COMMONWEALTH EDISON
60143,COMMONWEALTH EDISON
60144,COMMONWEALTH EDISON
60145,COMMONWEALTH EDISON
60146,COMMONWEALTH EDISON
60147,COMMONWEALTH EDISON
60148,COMMONWEALTH EDISON
60150,COMMONWEALTH EDISON
60151,COMMONWEALTH EDISON
60152,COMMONWEALTH EDISON
60153,COMMONWEALTH EDISON
60154,COMMONWEALTH EDISON
60155,COMMONWEALTH EDISON
60156,COMMONWEALTH EDISON
60157,COMMONWEALTH EDISON
60159,COMMONWEALTH EDISON
60160,COMMONWEALTH EDISON
60162,COMMONWEALTH EDISON
60163,COMMONWEALTH EDISON
60164,COMMONWEALTH EDISON
60165,COMMONWEALTH EDISON
60169,COMMONWEALTH EDISON
60170,COMMONWEALTH EDISON
60171,COMMONWEALTH EDISON
60172,COMMONWEALTH EDISON
60173,COMMONWEALTH EDISON
60174,COMMONWEALTH EDISON
60175,COMMONWEALTH EDISON
60176,COMMONWEALTH EDISON
60177,COMMONWEALTH EDISON
60178,COMMONWEALTH EDISON
60179,COMMONWEALTH EDISON
60180,COMMONWEALTH EDISON
60181,COMMONWEALTH EDISON
60183,COMMONWEALTH EDISON
60184,COMMONWEALTH EDISON
60185,COMMONWEALTH EDISON
60187,COMMONWEALTH EDISON
60188,COMMONWEALTH EDISON
60189,COMMONWEALTH EDISON
60190,COMMONWEALTH EDISON
60191,COMMONWEALTH EDISON
60192,COMMONWEALTH EDISON
60193,COMMONWEALTH EDISON
60194,COMMONWEALTH EDISON
60195,COMMONWEALTH EDISON
60196,COMMONWEALTH EDISON
60199,COMMONWEALTH EDISON
60201,COMMONWEALTH EDISON
60202,COMMONWEALTH EDISON
60203,COMMONWEALTH EDISON
60208,COMMONWEALTH EDISON
60301,COMMONWEALTH EDISON
60302,COMMONWEALTH EDISON
60304,COMMONWEALTH EDISON
60305,COMMONWEALTH EDISON
60401,COMMONWEALTH EDISON
60402,COMMONWEALTH EDISON
60403,COMMONWEALTH EDISON
60404,COMMONWEALTH EDISON
60406,COMMONWEALTH EDISON
60407,COMMONWEALTH EDISON
60408,COMMONWEALTH EDISON
60409,COMMONWEALTH EDISON
60410,COMMONWEALTH EDISON
60411,COMMONWEALTH EDISON
60412,COMMONWEALTH EDISON
60415,COMMONWEALTH EDISON
60416,COMMONWEALTH EDISON
60417,COMMONWEALTH EDISON
60419,COMMONWEALTH EDISON
60420,COMMONWEALTH EDISON
60421,COMMONWEALTH EDISON
60422,COMMONWEALTH EDISON
60423,COMMONWEALTH EDISON
60424,COMMONWEALTH EDISON
60425,COMMONWEALTH EDISON
60426,COMMONWEALTH EDISON
60428,COMMONWEALTH EDISON
60429,COMMONWEALTH EDISON
60430,COMMONWEALTH EDISON
60431,COMMONWEALTH EDISON
60432,COMMONWEALTH EDISON
60433,COMMONWEALTH EDISON
60434,COMMONWEALTH EDISON
60435,COMMONWEALTH EDISON
60436,COMMONWEALTH EDISON
60437,COMMONWEALTH EDISON
60438,COMMONWEALTH EDISON
60439,COMMONWEALTH EDISON
60440,COMMONWEALTH EDISON
60441,COMMONWEALTH EDISON
60442,COMMONWEALTH EDISON
60443,COMMONWEALTH EDISON
60444,COMMONWEALTH EDISON
60445,COMMONWEALTH EDISON
60446,COMMONWEALTH EDISON
60447,COMMONWEALTH EDISON
60448,COMMONWEALTH EDISON
60449,COMMONWEALTH EDISON
60450,COMMONWEALTH EDISON
60451,COMMONWEALTH EDISON
60452,COMMONWEALTH EDISON
60453,COMMONWEALTH EDISON
60455,COMMONWEALTH EDISON
60456,COMMONWEALTH EDISON
60457,COMMONWEALTH EDISON
60458,COMMONWEALTH EDISON
60459,COMMONWEALTH EDISON
60460,COMMONWEALTH EDISON
60461,COMMONWEALTH EDISON
60462,COMMONWEALTH EDISON
60463,COMMONWEALTH EDISON
60464,COMMONWEALTH EDISON
60465,COMMONWEALTH EDISON
60466,COMMONWEALTH EDISON
60467,COMMONWEALTH EDISON
60468,COMMONWEALTH EDISON
60469,COMMONWEALTH EDISON
60470,COMMONWEALTH EDISON
60471,COMMONWEALTH EDISON
60472,COMMONWEALTH EDISON
60473,COMMONWEALTH EDISON
60474,COMMONWEALTH EDISON
60475,COMMONWEALTH EDISON
60476,COMMONWEALTH EDISON
60477,COMMONWEALTH EDISON
60478,COMMONWEALTH EDISON
60479,COMMONWEALTH EDISON
60480,COMMONWEALTH EDISON
60481,COMMONWEALTH EDISON
60482,COMMONWEALTH EDISON
60484,COMMONWEALTH EDISON
60487,COMMONWEALTH EDISON
60490,COMMONWEALTH EDISON
60491,COMMONWEALTH EDISON
60501,COMMONWEALTH EDISON
60502,COMMONWEALTH EDISON
60503,COMMONWEALTH EDISON
60504,COMMONWEALTH EDISON
60505,COMMONWEALTH EDISON
60506,COMMONWEALTH EDISON
60507,COMMONWEALTH EDISON
60510,COMMONWEALTH EDISON
60511,COMMONWEALTH EDISON
60512,COMMONWEALTH EDISON
60513,COMMONWEALTH EDISON
60514,COMMONWEALTH EDISON
60515,COMMONWEALTH EDISON
60516,COMMONWEALTH EDISON
60517,COMMONWEALTH EDISON
60518,COMMONWEALTH EDISON
60519,COMMONWEALTH EDISON
60520,COMMONWEALTH EDISON
60521,COMMONWEALTH EDISON
60523,COMMONWEALTH EDISON
60525,COMMONWEALTH EDISON
60526,COMMONWEALTH EDISON
60527,COMMONWEALTH EDISON
60530,COMMONWEALTH EDISON
60531,COMMONWEALTH EDISON
60532,COMMONWEALTH EDISON
60534,COMMONWEALTH EDISON
60538,COMMONWEALTH EDISON
60539,COMMONWEALTH EDISON
60540,COMMONWEALTH EDISON
60541,COMMONWEALTH EDISON
60542,COMMONWEALTH EDISON
60543,COMMONWEALTH EDISON
60544,COMMONWEALTH EDISON
60545,COMMONWEALTH EDISON
60546,COMMONWEALTH EDISON
60548,COMMONWEALTH EDISON
60550,COMMONWEALTH EDISON
60551,COMMONWEALTH EDISON
60552,COMMONWEALTH EDISON
60553,COMMONWEALTH EDISON
60554,COMMONWEALTH EDISON
60555,COMMONWEALTH EDISON
60556,COMMONWEALTH EDISON
60558,COMMONWEALTH EDISON
60559,COMMONWEALTH EDISON
60560,COMMONWEALTH EDISON
60561,COMMONWEALTH EDISON
60563,COMMONWEALTH EDISON
60564,COMMONWEALTH EDISON
60565,COMMONWEALTH EDISON
60566,COMMONWEALTH EDISON
60585,COMMONWEALTH EDISON
60586,COMMONWEALTH EDISON
60598,COMMONWEALTH EDISON
60601,COMMONWEALTH EDISON
60602,COMMONWEALTH EDISON
60603,COMMONWEALTH EDISON
60604,COMMONWEALTH EDISON
60605,COMMONWEALTH EDISON
60606,COMMONWEALTH EDISON
60607,COMMONWEALTH EDISON
60608,COMMONWEALTH EDISON
60609,COMMONWEALTH EDISON
60610,COMMONWEALTH EDISON
60611,COMMONWEALTH EDISON
60612,COMMONWEALTH EDISON
60613,COMMONWEALTH EDISON
60614,COMMONWEALTH EDISON
60615,COMMONWEALTH EDISON
60616,COMMONWEALTH EDISON
60617,COMMONWEALTH EDISON
60618,COMMONWEALTH EDISON
60619,COMMONWEALTH EDISON
60620,COMMONWEALTH EDISON
60621,COMMONWEALTH EDISON
60622,COMMONWEALTH EDISON
60623,COMMONWEALTH EDISON
60624,COMMONWEALTH EDISON
60625,COMMONWEALTH EDISON
60626,COMMONWEALTH EDISON
60628,COMMONWEALTH EDISON
60629,COMMONWEALTH EDISON
60630,COMMONWEALTH EDISON
60631,COMMONWEALTH EDISON
60632,COMMONWEALTH EDISON
60633,COMMONWEALTH EDISON
60634,COMMONWEALTH EDISON
60636,COMMONWEALTH EDISON
60637,COMMONWEALTH EDISON
60638,COMMONWEALTH EDISON
60639,COMMONWEALTH EDISON
60640,COMMONWEALTH EDISON
60641,COMMONWEALTH EDISON
60642,COMMONWEALTH EDISON
60643,COMMONWEALTH EDISON
60644,COMMONWEALTH EDISON
60645,COMMONWEALTH EDISON
60646,COMMONWEALTH EDISON
60647,COMMONWEALTH EDISON
60649,COMMONWEALTH EDISON
60651,COMMONWEALTH EDISON
60652,COMMONWEALTH EDISON
60653,COMMONWEALTH EDISON
60654,COMMONWEALTH EDISON
60655,COMMONWEALTH EDISON
60656,COMMONWEALTH EDISON
60657,COMMONWEALTH EDISON
60659,COMMONWEALTH EDISON
60660,COMMONWEALTH EDISON
60661,COMMONWEALTH EDISON
60666,COMMONWEALTH EDISON
60668,COMMONWEALTH EDISON
60673,COMMONWEALTH EDISON
60675,COMMONWEALTH EDISON
60677,COMMONWEALTH EDISON
60678,COMMONWEALTH EDISON
60680,COMMONWEALTH EDISON
60681,COMMONWEALTH EDISON
60689,COMMONWEALTH EDISON
60690,COMMONWEALTH EDISON
60691,COMMONWEALTH EDISON
60693,COMMONWEALTH EDISON
60696,COMMONWEALTH EDISON
60699,COMMONWEALTH EDISON
60701,COMMONWEALTH EDISON
60706,COMMONWEALTH EDISON
60707,COMMONWEALTH EDISON
60712,COMMONWEALTH EDISON
60714,COMMONWEALTH EDISON
60803,COMMONWEALTH EDISON
60804,COMMONWEALTH EDISON
60805,COMMONWEALTH EDISON
60827,COMMONWEALTH EDISON
60901,COMMONWEALTH EDISON
60910,COMMONWEALTH EDISON
60912,COMMONWEALTH EDISON
60913,COMMONWEALTH EDISON
60914,COMMONWEALTH EDISON
60915,COMMONWEALTH EDISON
60917,COMMONWEALTH EDISON
60919,COMMONWEALTH EDISON
60920,COMMONWEALTH EDISON
60922,COMMONWEALTH EDISON
60929,COMMONWEALTH EDISON
60934,COMMONWEALTH EDISON
60935,COMMONWEALTH EDISON
60940,COMMONWEALTH EDISON
60941,COMMONWEALTH EDISON
60944,COMMONWEALTH EDISON
60946,COMMONWEALTH EDISON
60950,COMMONWEALTH EDISON
60954,COMMONWEALTH EDISON
60958,COMMONWEALTH EDISON
60961,COMMONWEALTH EDISON
60964,COMMONWEALTH EDISON
60969,COMMONWEALTH EDISON
61001,COMMONWEALTH EDISON
61006,COMMONWEALTH EDISON
61007,COMMONWEALTH EDISON
61008,COMMONWEALTH EDISON
61010,COMMONWEALTH EDISON
61011,COMMONWEALTH EDISON
61012,COMMONWEALTH EDISON
61013,COMMONWEALTH EDISON
61014,COMMONWEALTH EDISON
61015,COMMONWEALTH EDISON
61016,COMMONWEALTH EDISON
61018,COMMONWEALTH EDISON
61019,COMMONWEALTH EDISON
61020,COMMONWEALTH EDISON
61021,COMMONWEALTH EDISON
61024,COMMONWEALTH EDISON
61027,COMMONWEALTH EDISON
61028,COMMONWEALTH EDISON
61030,COMMONWEALTH EDISON
61031,COMMONWEALTH EDISON
61032,COMMONWEALTH EDISON
61037,COMMONWEALTH EDISON
61038,COMMONWEALTH EDISON
61039,COMMONWEALTH EDISON
61042,COMMONWEALTH EDISON
61043,COMMONWEALTH EDISON
61044,COMMONWEALTH EDISON
61046,COMMONWEALTH EDISON
61047,COMMONWEALTH EDISON
61048,COMMONWEALTH EDISON
61049,COMMONWEALTH EDISON
61050,COMMONWEALTH EDISON
61051,COMMONWEALTH EDISON
61052,COMMONWEALTH EDISON
61053,COMMONWEALTH EDISON
61054,COMMONWEALTH EDISON
61057,COMMONWEALTH EDISON
61059,COMMONWEALTH EDISON
61060,COMMONWEALTH EDISON
61061,COMMONWEALTH EDISON
61062,COMMONWEALTH EDISON
61063,COMMONWEALTH EDISON
61064,COMMONWEALTH EDISON
61065,COMMONWEALTH EDISON
61067,COMMONWEALTH EDISON
61068,COMMONWEALTH EDISON
61070,COMMONWEALTH EDISON
61071,COMMONWEALTH EDISON
61072,COMMONWEALTH EDISON
61073,COMMONWEALTH EDISON
61075,COMMONWEALTH EDISON
61077,COMMONWEALTH EDISON
61078,COMMONWEALTH EDISON
61079,COMMONWEALTH EDISON
61080,COMMONWEALTH EDISON
61081,COMMONWEALTH EDISON
61084,COMMONWEALTH EDISON
61085,COMMONWEALTH EDISON
61087,COMMONWEALTH EDISON
61088,COMMONWEALTH EDISON
61089,COMMONWEALTH EDISON
61091,COMMONWEALTH EDISON
61101,COMMONWEALTH EDISON
61102,COMMONWEALTH EDISON
61103,COMMONWEALTH EDISON
61104,COMMONWEALTH EDISON
61105,COMMONWEALTH EDISON
61107,COMMONWEALTH EDISON
61108,COMMONWEALTH EDISON
61109,COMMONWEALTH EDISON
61111,COMMONWEALTH EDISON
61112,COMMONWEALTH EDISON
61114,COMMONWEALTH EDISON
61115,COMMONWEALTH EDISON
61125,COMMONWEALTH EDISON
61230,COMMONWEALTH EDISON
61234,COMMONWEALTH EDISON
61242,COMMONWEALTH EDISON
61243,COMMONWEALTH EDISON
61250,COMMONWEALTH EDISON
61251,COMMONWEALTH EDISON
61252,COMMONWEALTH EDISON
61254,COMMONWEALTH EDISON
61258,COMMONWEALTH EDISON
61261,COMMONWEALTH EDISON
61270,COMMONWEALTH EDISON
61277,COMMONWEALTH EDISON
61283,COMMONWEALTH EDISON
61310,COMMONWEALTH EDISON
61311,COMMONWEALTH EDISON
61313,COMMONWEALTH EDISON
61318,COMMONWEALTH EDISON
61319,COMMONWEALTH EDISON
61321,COMMONWEALTH EDISON
61324,COMMONWEALTH EDISON
61325,COMMONWEALTH EDISON
61330,COMMONWEALTH EDISON
61331,COMMONWEALTH EDISON
61332,COMMONWEALTH EDISON
61333,COMMONWEALTH EDISON
61334,COMMONWEALTH EDISON
61338,COMMONWEALTH EDISON
61341,COMMONWEALTH EDISON
61342,COMMONWEALTH EDISON
61348,COMMONWEALTH EDISON
61349,COMMONWEALTH EDISON
61350,COMMONWEALTH EDISON
61353,COMMONWEALTH EDISON
61358,COMMONWEALTH EDISON
61360,COMMONWEALTH EDISON
61364,COMMONWEALTH EDISON
61367,COMMONWEALTH EDISON
61369,COMMONWEALTH EDISON
61370,COMMONWEALTH EDISON
61375,COMMONWEALTH EDISON
61376,COMMONWEALTH EDISON
61377,COMMONWEALTH EDISON
61378,COMMONWEALTH EDISON
61516,COMMONWEALTH EDISON
61554,COMMONWEALTH EDISON
61738,COMMONWEALTH EDISON
61739,COMMONWEALTH EDISON
61740,COMMONWEALTH EDISON
61741,COMMONWEALTH EDISON
61743,COMMONWEALTH EDISON
61760,COMMONWEALTH EDISON
61764,COMMONWEALTH EDISON
61769,COMMONWEALTH EDISON
61951,COMMONWEALTH EDISON
62656,COMMONWEALTH EDISON
62892,COMMONWEALTH EDISON
